Date,TransactionID,VendorName,ExpenseTotal
2024/01/01,8765432109,Amazon,45.75
2024/01/02,1234567890,Walmart,123.49
2024/01/03,9876543210,Starbucks,5.20
2024/01/04,2345678901,Target,78.99
2024/01/05,3456789012,Chevron,62.10
2024/01/06,4567890123,Best Buy,349.99
2024/01/07,5678901234,Safeway,88.50
2024/01/08,6789012345,McDonald's,12.85
2024/01/09,7890123456,Home Depot,210.00
2024/01/10,8901234567,CVS Pharmacy,15.60
2024/01/11,9012345678,Shell,55.00
2024/01/12,0123456789,Kroger,92.30
2024/01/13,1122334455,Subway,9.75
2024/01/14,2233445566,Costco,180.25
2024/01/15,3344556677,Walgreens,22.40
2024/01/16,4455667788,ExxonMobil,70.00
2024/01/17,5566778899,Whole Foods,65.90
2024/01/18,6677889900,Burger King,8.50
2024/01/19,7788990011,Lowe's,150.00
2024/01/20,8899001122,Rite Aid,18.99
2024/01/21,9900112233,7-Eleven,7.50
2024/01/22,0011223344,Panda Express,11.25
2024/01/23,1029384756,Trader Joe's,50.00
2024/01/24,2130495867,Domino's Pizza,25.00
2024/01/25,3241506978,BP,60.50
2024/01/26,4352617089,Starbucks,6.80
2024/01/27,5463728190,PetSmart,40.00
2024/01/28,6574839201,Gamestop,55.00
2024/01/29,7685940312,Olive Garden,35.00
2024/01/30,8796051423,CVS Pharmacy,10.00
2024/01/31,9807162534,Circle K,8.00
2024/02/01,0918273645,Home Depot,75.00
2024/02/02,1020304050,Walmart,200.00
2024/02/03,2030405060,Target,90.00
2024/02/04,3040506070,Amazon,30.00
2024/02/05,4050607080,Chevron,65.00
2024/02/06,5060708090,Best Buy,120.00
2024/02/07,6070809000,Safeway,70.00
2024/02/08,7080900010,McDonald's,10.00
2024/02/09,8090001020,Lowe's,180.00
2024/02/10,9000102030,Walgreens,20.00
2024/02/11,0010203040,Shell,58.00
2024/02/12,1020304050,Kroger,85.00
2024/02/13,2030405061,Subway,11.00
2024/02/14,3040506172,Costco,210.00
2024/02/15,4050617283,Rite Aid,25.00
2024/02/16,5061728394,ExxonMobil,72.00
2024/02/17,6172839405,Whole Foods,70.00
2024/02/18,7283940516,Burger King,9.00
2024/02/19,8394051627,7-Eleven,6.00
2024/02/20,9405162738,Panda Express,13.00
2024/02/21,0516273849,Trader Joe's,55.00
2024/02/22,1627384950,Domino's Pizza,28.00
2024/02/23,2738495061,BP,68.00
2024/02/24,3849506172,Starbucks,7.50
2024/02/25,4950617283,PetSmart,45.00
2024/02/26,5061728394,Gamestop,60.00
2024/02/27,6172839405,Olive Garden,40.00
2024/02/28,7283940516,CVS Pharmacy,13.00
2024/02/29,8394051627,Circle K,9.00
2024/03/01,9405162738,Home Depot,80.00
2024/03/02,0516273849,Walmart,130.00
2024/03/03,1627384950,Target,85.00
2024/03/04,2738495061,Amazon,42.00
2024/03/05,3849506172,Chevron,60.00
2024/03/06,4950617283,Best Buy,220.00
2024/03/07,5061728394,Safeway,95.00
2024/03/08,6172839405,McDonald's,15.00
2024/03/09,7283940516,Lowe's,100.00
2024/03/10,8394051627,Walgreens,28.00
2024/03/11,9405162738,Shell,65.00
2024/03/12,0516273849,Kroger,110.00
2024/03/13,1627384950,Subway,10.00
2024/03/14,2738495061,Costco,190.00
2024/03/15,3849506172,Rite Aid,20.00
2024/03/16,4950617283,ExxonMobil,75.00
2024/03/17,5061728394,Whole Foods,80.00
2024/03/18,6172839405,Burger King,10.00
2024/03/19,7283940516,7-Eleven,8.00
2024/03/20,8394051627,Panda Express,12.00
2024/03/21,9405162738,Trader Joe's,60.00
2024/03/22,0516273849,Domino's Pizza,22.00
2024/03/23,1627384950,BP,70.00
2024/03/24,2738495061,Starbucks,5.50
2024/03/25,3849506172,PetSmart,30.00
2024/03/26,4950617283,Gamestop,40.00
2024/03/27,5061728394,Olive Garden,38.00
2024/03/28,6172839405,CVS Pharmacy,16.00
2024/03/29,7283940516,Circle K,7.00
2024/03/30,8394051627,Home Depot,90.00
2024/03/31,9405162738,Walmart,140.00
2024/04/01,0516273849,Target,95.00
2024/04/02,1627384950,Amazon,50.00
2024/04/03,2738495061,Chevron,70.00
2024/04/04,3849506172,Best Buy,250.00
2024/04/05,4950617283,Safeway,100.00
2024/04/06,5061728394,McDonald's,14.00
2024/04/07,6172839405,Lowe's,110.00
2t24/04/08,7283940516,Walgreens,30.00
2024/04/09,8394051627,Shell,60.00
2024/04/10,9405162738,Kroger,120.00
2024/04/11,0516273849,Subway,12.00
2024/04/12,1627384950,Costco,200.00
2024/04/13,2738495061,Rite Aid,23.00
2024/04/14,3849506172,ExxonMobil,80.00
2024/04/15,4950617283,Whole Foods,85.00
2024/04/16,5061728394,Burger King,9.50
2024/04/17,6172839405,7-Eleven,9.00
2024/04/18,7283940516,Panda Express,14.00
2024/04/19,8394051627,Trader Joe's,65.00
2024/04/20,9405162738,Domino's Pizza,27.00
2024/04/21,0516273849,BP,75.00
2024/04/22,1627384950,Starbucks,6.00
2024/04/23,2738495061,PetSmart,35.00
2024/04/24,3849506172,Gamestop,45.00
2024/04/25,4950617283,Olive Garden,42.00
2024/04/26,5061728394,CVS Pharmacy,17.00
2024/04/27,6172839405,Circle K,8.50
2024/04/28,7283940516,Home Depot,95.00
2024/04/29,8394051627,Walmart,150.00
2024/04/30,9405162738,Target,100.00
2024/05/01,0516273849,Amazon,55.00
2024/05/02,1627384950,Chevron,72.00
2024/05/03,2738495061,Best Buy,280.00
2024/05/04,3849506172,Safeway,105.00
2024/05/05,4950617283,McDonald's,16.00
2024/05/06,5061728394,Lowe's,120.00
2024/05/07,6172839405,Walgreens,32.00
2024/05/08,7283940516,Shell,68.00
2024/05/09,8394051627,Kroger,130.00
2024/05/10,9405162738,Subway,11.50
2024/05/11,0516273849,Costco,220.00
2024/05/12,1627384950,Rite Aid,26.00
2024/05/13,2738495061,ExxonMobil,85.00
2024/05/14,3849506172,Whole Foods,90.00
2024/05/15,4950617283,Burger King,10.50
2024/05/16,5061728394,7-Eleven,8.80
2024/05/17,6172839405,Panda Express,15.00
2024/05/18,7283940516,Trader Joe's,70.00
2024/05/19,8394051627,Domino's Pizza,30.00
2024/05/20,9405162738,BP,80.00
2024/05/21,0516273849,Starbucks,6.50
2024/05/22,1627384950,PetSmart,40.00
2024/05/23,2738495061,Gamestop,50.00
2024/05/24,3849506172,Olive Garden,45.00
2024/05/25,4950617283,CVS Pharmacy,19.00
2024/05/26,5061728394,Circle K,9.50
2024/05/27,6172839405,Home Depot,100.00
2024/05/28,7283940516,Walmart,160.00
2024/05/29,8394051627,Target,110.00
2024/05/30,9405162738,Amazon,60.00
2024/05/31,0516273849,Chevron,75.00
2024/06/01,1627384950,Best Buy,300.00
2024/06/02,2738495061,Safeway,110.00
2024/06/03,3849506172,McDonald's,17.00
2024/06/04,4950617283,Lowe's,130.00
2024/06/05,5061728394,Walgreens,35.00
2024/06/06,6172839405,Shell,70.00
2024/06/07,7283940516,Kroger,140.00
2024/06/08,8394051627,Subway,13.00
2024/06/09,9405162738,Costco,230.00
2024/06/10,0516273849,Rite Aid,28.00
2024/06/11,1627384950,ExxonMobil,90.00
2024/06/12,2738495061,Whole Foods,95.00
2024/06/13,3849506172,Burger King,11.00
2024/06/14,4950617283,7-Eleven,9.20
2024/06/15,5061728394,Panda Express,16.00
2024/06/16,6172839405,Trader Joe's,75.00
2024/06/17,7283940516,Domino's Pizza,32.00
2024/06/18,8394051627,BP,85.00
2024/06/19,9405162738,Starbucks,7.00
2024/06/20,0516273849,PetSmart,42.00
2024/06/21,1627384950,Gamestop,55.00
2024/06/22,2738495061,Olive Garden,48.00
2024/06/23,3849506172,CVS Pharmacy,20.00
2024/06/24,4950617283,Circle K,10.00
2024/06/25,5061728394,Home Depot,110.00
2024/06/26,6172839405,Walmart,170.00
2024/06/27,7283940516,Target,120.00
2024/06/28,8394051627,Amazon,65.00
2024/06/29,9405162738,Chevron,78.00
2024/06/30,0516273849,Best Buy,320.00
2024/07/01,1627384950,Safeway,115.00
2024/07/02,2738495061,McDonald's,18.00
2024/07/03,3849506172,Lowe's,140.00
2024/07/04,4950617283,Walgreens,38.00
2024/07/05,5061728394,Shell,72.00
2024/07/06,6172839405,Kroger,150.00
2024/07/07,7283940516,Subway,14.00
2024/07/08,8394051627,Costco,240.00
2024/07/09,9405162738,Rite Aid,30.00
2024/07/10,0516273849,ExxonMobil,95.00
2024/07/11,1627384950,Whole Foods,100.00
2024/07/12,2738495061,Burger King,12.00
2024/07/13,3849506172,7-Eleven,9.80
2024/07/14,4950617283,Panda Express,17.00
2024/07/15,5061728394,Trader Joe's,80.00
2024/07/16,6172839405,Domino's Pizza,35.00
2024/07/17,7283940516,BP,90.00
2024/07/18,8394051627,Starbucks,7.50
2024/07/19,9405162738,PetSmart,45.00
2024/07/20,0516273849,Gamestop,60.00
2024/07/21,1627384950,Olive Garden,50.00
2024/07/22,2738495061,CVS Pharmacy,22.00
2024/07/23,3849506172,Circle K,10.50
2024/07/24,4950617283,Home Depot,120.00
2024/07/25,5061728394,Walmart,180.00
2024/07/26,6172839405,Target,130.00
2024/07/27,7283940516,Amazon,70.00
2024/07/28,8394051627,Chevron,80.00
2024/07/29,9405162738,Best Buy,350.00
2024/07/30,0516273849,Safeway,120.00
2024/07/31,1627384950,McDonald's,19.00
2024/08/01,2738495061,Lowe's,150.00
2024/08/02,3849506172,Walgreens,40.00
2024/08/03,4950617283,Shell,75.00
2024/08/04,5061728394,Kroger,160.00
2024/08/05,6172839405,Subway,15.00
2024/08/06,7283940516,Costco,250.00
2024/08/07,8394051627,Rite Aid,32.00
2024/08/08,9405162738,ExxonMobil,100.00
2024/08/09,0516273849,Whole Foods,105.00
2024/08/10,1627384950,Burger King,13.00
2024/08/11,2738495061,7-Eleven,10.00
2024/08/12,3849506172,Panda Express,18.00
2024/08/13,4950617283,Trader Joe's,85.00
2024/08/14,5061728394,Domino's Pizza,38.00
2024/08/15,6172839405,BP,95.00
2024/08/16,7283940516,Starbucks,8.00
2024/08/17,8394051627,PetSmart,50.00
2024/08/18,9405162738,Gamestop,65.00
2024/08/19,0516273849,Olive Garden,55.00
2024/08/20,1627384950,CVS Pharmacy,25.00
2024/08/21,2738495061,Circle K,11.00
2024/08/22,3849506172,Home Depot,130.00
2024/08/23,4950617283,Walmart,190.00
2024/08/24,5061728394,Target,140.00
2024/08/25,6172839405,Amazon,75.00
2024/08/26,7283940516,Chevron,82.00
2024/08/27,8394051627,Best Buy,380.00
2024/08/28,9405162738,Safeway,125.00
2024/08/29,0516273849,McDonald's,20.00
2024/08/30,1627384950,Lowe's,160.00
2024/08/31,2738495061,Walgreens,42.00
2024/09/01,3849506172,Shell,78.00
2024/09/02,4950617283,Kroger,170.00
2024/09/03,5061728394,Subway,16.00
2024/09/04,6172839405,Costco,260.00
2024/09/05,7283940516,Rite Aid,35.00
2024/09/06,8394051627,ExxonMobil,105.00
2024/09/07,9405162738,Whole Foods,110.00
2024/09/08,0516273849,Burger King,14.00
2024/09/09,1627384950,7-Eleven,10.50
2024/09/10,2738495061,Panda Express,19.00
2024/09/11,3849506172,Trader Joe's,90.00
2024/09/12,4950617283,Domino's Pizza,40.00
2024/09/13,5061728394,BP,100.00
2024/09/14,6172839405,Starbucks,8.50
2024/09/15,7283940516,PetSmart,52.00
2024/09/16,8394051627,Gamestop,70.00
2024/09/17,9405162738,Olive Garden,60.00
2024/09/18,0516273849,CVS Pharmacy,27.00
2024/09/19,1627384950,Circle K,11.50
2024/09/20,2738495061,Home Depot,140.00
2024/09/21,3849506172,Walmart,200.00
2024/09/22,4950617283,Target,150.00
2024/09/23,5061728394,Amazon,80.00
2024/09/24,6172839405,Chevron,85.00
2024/09/25,7283940516,Best Buy,400.00
2024/09/26,8394051627,Safeway,130.00
2024/09/27,9405162738,McDonald's,21.00
2024/09/28,0516273849,Lowe's,170.00
2024/09/29,1627384950,Walgreens,45.00
2024/09/30,2738495061,Shell,80.00
2024/10/01,3849506172,Kroger,180.00
2024/10/02,4950617283,Subway,17.00
2024/10/03,5061728394,Costco,270.00
2024/10/04,6172839405,Rite Aid,38.00
2024/10/05,7283940516,ExxonMobil,110.00
2024/10/06,8394051627,Whole Foods,115.00
2024/10/07,9405162738,Burger King,15.00
2024/10/08,0516273849,7-Eleven,11.00
2024/10/09,1627384950,Panda Express,20.00
2024/10/10,2738495061,Trader Joe's,95.00
2024/10/11,3849506172,Domino's Pizza,42.00
2024/10/12,4950617283,BP,105.00
2024/10/13,5061728394,Starbucks,9.00
2024/10/14,6172839405,PetSmart,55.00
2024/10/15,7283940516,Gamestop,75.00
2024/10/16,8394051627,Olive Garden,65.00
2024/10/17,9405162738,CVS Pharmacy,30.00
2024/10/18,0516273849,Circle K,12.00
2024/10/19,1627384950,Home Depot,150.00
2024/10/20,2738495061,Walmart,210.00
2024/10/21,3849506172,Target,160.00
2024/10/22,4950617283,Amazon,85.00
2024/10/23,5061728394,Chevron,88.00
2024/10/24,6172839405,Best Buy,420.00
2024/10/25,7283940516,Safeway,135.00
2024/10/26,8394051627,McDonald's,22.00
2024/10/27,9405162738,Lowe's,180.00
2024/10/28,0516273849,Walgreens,48.00
2024/10/29,1627384950,Shell,82.00
2024/10/30,2738495061,Kroger,190.00
2024/10/31,3849506172,Subway,18.00
2024/11/01,4950617283,Costco,280.00
2024/11/02,5061728394,Rite Aid,40.00
2024/11/03,6172839405,ExxonMobil,115.00
2024/11/04,7283940516,Whole Foods,120.00
2024/11/05,8394051627,Burger King,16.00
2024/11/06,9405162738,7-Eleven,11.50
2024/11/07,0516273849,Panda Express,21.00
2024/11/08,1627384950,Trader Joe's,100.00
2024/11/09,2738495061,Domino's Pizza,45.00
2024/11/10,3849506172,BP,110.00
2024/11/11,4950617283,Starbucks,9.50
2024/11/12,5061728394,PetSmart,58.00
2024/11/13,6172839405,Gamestop,80.00
2024/11/14,7283940516,Olive Garden,70.00
2024/11/15,8394051627,CVS Pharmacy,32.00
2024/11/16,9405162738,Circle K,12.50
2024/11/17,0516273849,Home Depot,160.00
2024/11/18,1627384950,Walmart,220.00
2024/11/19,2738495061,Target,170.00
2024/11/20,3849506172,Amazon,90.00
2024/11/21,4950617283,Chevron,90.00
2024/11/22,5061728394,Best Buy,450.00
2024/11/23,6172839405,Safeway,140.00
2024/11/24,7283940516,McDonald's,23.00
2024/11/25,8394051627,Lowe's,190.00
2024/11/26,9405162738,Walgreens,50.00
2024/11/27,0516273849,Shell,85.00
2024/11/28,1627384950,Kroger,200.00
2024/11/29,2738495061,Subway,19.00
2024/11/30,3849506172,Costco,290.00
2024/12/01,4950617283,Rite Aid,42.00
2024/12/02,5061728394,ExxonMobil,120.00
2024/12/03,6172839405,Whole Foods,125.00
2024/12/04,7283940516,Burger King,17.00
2024/12/05,8394051627,7-Eleven,12.00
2024/12/06,9405162738,Panda Express,22.00
2024/12/07,0516273849,Trader Joe's,105.00
2024/12/08,1627384950,Domino's Pizza,48.00
2024/12/09,2738495061,BP,115.00
2024/12/10,3849506172,Starbucks,10.00
2024/12/11,4950617283,PetSmart,60.00
2024/12/12,5061728394,Gamestop,85.00
2024/12/13,6172839405,Olive Garden,75.00
2024/12/14,7283940516,CVS Pharmacy,35.00
2024/12/15,8394051627,Circle K,13.00
2024/12/16,9405162738,Home Depot,170.00
2024/12/17,0516273849,Walmart,230.00
2024/12/18,1627384950,Target,180.00
2024/12/19,2738495061,Amazon,95.00
2024/12/20,3849506172,Chevron,92.00
2024/12/21,4950617283,Best Buy,480.00
2024/12/22,5061728394,Safeway,145.00
2024/12/23,6172839405,McDonald's,24.00
2024/12/24,7283940516,Lowe's,200.00
2024/12/25,8394051627,Walgreens,52.00
2024/12/26,9405162738,Shell,88.00
2024/12/27,0516273849,Kroger,210.00
2024/12/28,1627384950,Subway,20.00
2024/12/29,2738495061,Costco,300.00
2024/12/30,3849506172,Rite Aid,45.00
2024/12/31,4950617283,ExxonMobil,125.00
2025/01/01,5061728394,Whole Foods,130.00
2025/01/02,6172839405,Burger King,18.00
2025/01/03,7283940516,7-Eleven,12.50
2025/01/04,8394051627,Panda Express,23.00
2025/01/05,9405162738,Trader Joe's,110.00
2025/01/06,0516273849,Domino's Pizza,50.00
2025/01/07,1627384950,BP,120.00
2025/01/08,2738495061,Starbucks,10.50
2025/01/09,3849506172,PetSmart,62.00
2025/01/10,4950617283,Gamestop,90.00
2025/01/11,5061728394,Olive Garden,80.00
2025/01/12,6172839405,CVS Pharmacy,38.00
2025/01/13,7283940516,Circle K,13.50
2025/01/14,8394051627,Home Depot,180.00
2025/01/15,9405162738,Walmart,240.00
2025/01/16,0516273849,Target,190.00
2025/01/17,1627384950,Amazon,100.00
2025/01/18,2738495061,Chevron,95.00
2025/01/19,3849506172,Best Buy,500.00
2025/01/20,4950617283,Safeway,150.00
2025/01/21,5061728394,McDonald's,25.00
2025/01/22,6172839405,Lowe's,210.00
2025/01/23,7283940516,Walgreens,55.00
2025/01/24,8394051627,Shell,90.00
2025/01/25,9405162738,Kroger,220.00
2025/01/26,0516273849,Subway,21.00
2025/01/27,1627384950,Costco,310.00
2025/01/28,2738495061,Rite Aid,48.00
2025/01/29,3849506172,ExxonMobil,130.00
2025/01/30,4950617283,Whole Foods,135.00
2025/01/31,5061728394,Burger King,19.00
2025/02/01,6172839405,7-Eleven,13.00
2025/02/02,7283940516,Panda Express,24.00
2025/02/03,8394051627,Trader Joe's,115.00
2025/02/04,9405162738,Domino's Pizza,52.00
2025/02/05,0516273849,BP,125.00
2025/02/06,1627384950,Starbucks,11.00
2025/02/07,2738495061,PetSmart,65.00
2025/02/08,3849506172,Gamestop,95.00
2025/02/09,4950617283,Olive Garden,85.00
2025/02/10,5061728394,CVS Pharmacy,40.00
2025/02/11,6172839405,Circle K,14.00
2025/02/12,7283940516,Home Depot,190.00
2025/02/13,8394051627,Walmart,250.00
2025/02/14,9405162738,Target,200.00
2025/02/15,0516273849,Amazon,105.00
2025/02/16,1627384950,Chevron,98.00
2025/02/17,2738495061,Best Buy,520.00
2025/02/18,3849506172,Safeway,155.00
2025/02/19,4950617283,McDonald's,26.00
2025/02/20,5061728394,Lowe's,220.00
2025/02/21,6172839405,Walgreens,58.00
2025/02/22,7283940516,Shell,92.00
2025/02/23,8394051627,Kroger,230.00
2t25/02/24,9405162738,Subway,22.00
2025/02/25,0516273849,Costco,320.00
2025/02/26,1627384950,Rite Aid,50.00
2025/02/27,2738495061,ExxonMobil,135.00
2025/02/28,3849506172,Whole Foods,140.00
2025/03/01,4950617283,Burger King,20.00
2025/03/02,5061728394,7-Eleven,13.50
2025/03/03,6172839405,Panda Express,25.00
2025/03/04,7283940516,Trader Joe's,120.00
2025/03/05,8394051627,Domino's Pizza,55.00
2025/03/06,9405162738,BP,130.00
2025/03/07,0516273849,Starbucks,11.50
2025/03/08,1627384950,PetSmart,68.00
2025/03/09,2738495061,Gamestop,100.00
2025/03/10,3849506172,Olive Garden,90.00
2025/03/11,4950617283,CVS Pharmacy,42.00
2025/03/12,5061728394,Circle K,14.50
2025/03/13,6172839405,Home Depot,200.00
2025/03/14,7283940516,Walmart,260.00
2025/03/15,8394051627,Target,210.00
2025/03/16,9405162738,Amazon,110.00
2025/03/17,0516273849,Chevron,100.00
2025/03/18,1627384950,Best Buy,550.00
2025/03/19,2738495061,Safeway,160.00
2025/03/20,3849506172,McDonald's,27.00
2025/03/21,4950617283,Lowe's,230.00
2025/03/22,5061728394,Walgreens,60.00
2025/03/23,6172839405,Shell,95.00
2025/03/24,7283940516,Kroger,240.00
2025/03/25,8394051627,Subway,23.00
2025/03/26,9405162738,Costco,330.00
2025/03/27,0516273849,Rite Aid,52.00
2025/03/28,1627384950,ExxonMobil,140.00
2025/03/29,2738495061,Whole Foods,145.00
2025/03/30,3849506172,Burger King,21.00
2025/03/31,4950617283,7-Eleven,14.00
2025/04/01,5061728394,Panda Express,26.00
2025/04/02,6172839405,Trader Joe's,125.00
2025/04/03,7283940516,Domino's Pizza,58.00
2025/04/04,8394051627,BP,135.00
2025/04/05,9405162738,Starbucks,12.00
2025/04/06,0516273849,PetSmart,70.00
2025/04/07,1627384950,Gamestop,105.00
2025/04/08,2738495061,Olive Garden,95.00
2025/04/09,3849506172,CVS Pharmacy,45.00
2025/04/10,4950617283,Circle K,15.00
2025/04/11,5061728394,Home Depot,210.00
2025/04/12,6172839405,Walmart,270.00
2025/04/13,7283940516,Target,220.00
2025/04/14,8394051627,Amazon,115.00
2025/04/15,9405162738,Chevron,102.00
2025/04/16,0516273849,Best Buy,580.00
2025/04/17,1627384950,Safeway,165.00
2025/04/18,2738495061,McDonald's,28.00
2025/04/19,3849506172,Lowe's,240.00
2025/04/20,4950617283,Walgreens,62.00
2025/04/21,5061728394,Shell,98.00
2025/04/22,6172839405,Kroger,250.00
2025/04/23,7283940516,Subway,24.00
2025/04/24,8394051627,Costco,340.00
2025/04/25,9405162738,Rite Aid,55.00
2025/04/26,0516273849,ExxonMobil,145.00
2025/04/27,1627384950,Whole Foods,150.00
2025/04/28,2738495061,Burger King,22.00
2025/04/29,3849506172,7-Eleven,14.50
2025/04/30,4950617283,Panda Express,27.00
2025/05/01,5061728394,Trader Joe's,130.00
2025/05/02,6172839405,Domino's Pizza,60.00
2025/05/03,7283940516,BP,140.00
2025/05/04,8394051627,Starbucks,12.50
2025/05/05,9405162738,PetSmart,72.00
2025/05/06,0516273849,Gamestop,110.00
2025/05/07,1627384950,Olive Garden,100.00
2025/05/08,2738495061,CVS Pharmacy,48.00
2025/05/09,3849506172,Circle K,15.50
2025/05/10,4950617283,Home Depot,220.00
2025/05/11,5061728394,Walmart,280.00
2025/05/12,6172839405,Target,230.00
2025/05/13,7283940516,Amazon,120.00
2025/05/14,8394051627,Chevron,105.00
2025/05/15,9405162738,Best Buy,600.00
2025/05/16,0516273849,Safeway,170.00
2025/05/17,1627384950,McDonald's,29.00
2025/05/18,2738495061,Lowe's,250.00
2025/05/19,3849506172,Walgreens,65.00
2025/05/20,4950617283,Shell,100.00
2025/05/21,5061728394,Kroger,260.00
2025/05/22,6172839405,Subway,25.00
2025/05/23,7283940516,Costco,350.00
2025/05/24,8394051627,Rite Aid,58.00
2025/05/25,9405162738,ExxonMobil,150.00
2025/05/26,0516273849,Whole Foods,155.00
2025/05/27,1627384950,Burger King,23.00
2025/05/28,2738495061,7-Eleven,15.00
2025/05/29,3849506172,Panda Express,28.00
2025/05/30,4950617283,Trader Joe's,135.00
2025/05/31,5061728394,Domino's Pizza,62.00
2025/06/01,6172839405,BP,145.00
2025/06/02,7283940516,Starbucks,13.00
2025/06/03,8394051627,PetSmart,75.00
2025/06/04,9405162738,Gamestop,115.00
2025/06/05,0516273849,Olive Garden,105.00
2025/06/06,1627384950,CVS Pharmacy,50.00
2025/06/07,2738495061,Circle K,16.00
2025/06/08,3849506172,Home Depot,230.00
2025/06/09,4950617283,Walmart,290.00
2025/06/10,5061728394,Target,240.00
2025/06/11,6172839405,Amazon,125.00
2025/06/12,7283940516,Chevron,108.00
2025/06/13,8394051627,Best Buy,620.00
2025/06/14,9405162738,Safeway,175.00
2025/06/15,0516273849,McDonald's,30.00
2025/06/16,1627384950,Lowe's,260.00
2025/06/17,2738495061,Walgreens,68.00
2025/06/18,3849506172,Shell,102.00
2025/06/19,4950617283,Kroger,270.00
2025/06/20,5061728394,Subway,26.00
2025/06/21,6172839405,Costco,360.00
2025/06/22,7283940516,Rite Aid,60.00
2025/06/23,8394051627,ExxonMobil,155.00
2025/06/24,9405162738,Whole Foods,160.00
2025/06/25,0516273849,Burger King,24.00
2025/06/26,1627384950,7-Eleven,15.50
2025/06/27,2738495061,Panda Express,29.00
2025/06/28,3849506172,Trader Joe's,140.00
2025/06/29,4950617283,Domino's Pizza,65.00
2025/06/30,5061728394,BP,150.00
2025/07/01,6172839405,Starbucks,13.50
2025/07/02,7283940516,PetSmart,78.00
2025/07/03,8394051627,Gamestop,120.00
2025/07/04,9405162738,Olive Garden,110.00
2025/07/05,0516273849,CVS Pharmacy,52.00
2025/07/06,1627384950,Circle K,16.50
2025/07/07,2738495061,Home Depot,240.00
2025/07/08,3849506172,Walmart,300.00
2025/07/09,4950617283,Target,250.00
2025/07/10,5061728394,Amazon,130.00
2025/07/11,6172839405,Chevron,110.00
2025/07/12,7283940516,Best Buy,650.00
2025/07/13,8394051627,Safeway,180.00
2025/07/14,9405162738,McDonald's,31.00
2025/07/15,0516273849,Lowe's,270.00
2025/07/16,1627384950,Walgreens,70.00
2025/07/17,2738495061,Shell,105.00
2025/07/18,3849506172,Kroger,280.00
2025/07/19,4950617283,Subway,27.00
2025/07/20,5061728394,Costco,370.00
2025/07/21,6172839405,Rite Aid,62.00
2025/07/22,7283940516,ExxonMobil,160.00
2025/07/23,8394051627,Whole Foods,165.00
2025/07/24,9405162738,Burger King,25.00
2025/07/25,0516273849,7-Eleven,16.00